#TYPE System.Management.Automation.PSCustomObject,,,
URL,Status,DateAdded,Notes
103.4.218.22,Bad,7/25/2015,
108.163.188.250,Bad,7/25/2015,
108.163.194.234,Bad,7/25/2015,
108.170.13.205,Bad,7/25/2015,
109.123.100.219,Bad,7/25/2015,
109.163.225.232,Bad,7/25/2015,
109.163.231.219,Bad,7/25/2015,
109.196.143.130,Bad,7/25/2015,
109.196.143.133,Bad,7/25/2015,
109.196.143.135,Bad,7/25/2015,
109.196.143.136,Bad,7/25/2015,
109.196.143.137,Bad,7/25/2015,
109.203.126.70,Bad,7/25/2015,
109.228.26.155,Bad,7/25/2015,
109.230.229.156,Bad,7/25/2015,
109.234.161.10,Bad,7/25/2015,
109.235.249.163,Bad,7/25/2015,
109.254.2.123,Bad,7/25/2015,
109.72.86.5,Bad,7/25/2015,
110.45.136.181,Bad,7/25/2015,
111.92.237.115,Bad,7/25/2015,
112.148.141.4,Bad,7/25/2015,
112.216.25.75,Bad,7/25/2015,
112.78.124.115,Bad,7/25/2015,
112.84.189.89,Bad,7/25/2015,
113.28.68.42,Bad,7/25/2015,
114.108.170.13,Bad,7/25/2015,
114.203.87.195,Bad,7/25/2015,
114.27.25.145,Bad,7/25/2015,
114.80.208.199,Bad,7/25/2015,
115.230.126.91,Bad,7/25/2015,
115.47.69.193,Bad,7/25/2015,
115.68.13.152,Bad,7/25/2015,
115.68.13.174,Bad,7/25/2015,
116.127.121.27,Bad,7/25/2015,
116.240.195.34,Bad,7/25/2015,
116.255.180.231,Bad,7/25/2015,
117.104.150.170,Bad,7/25/2015,
117.55.226.25,Bad,7/25/2015,
118.219.234.63,Bad,7/25/2015,
118.220.175.24,Bad,7/25/2015,
119.145.143.6,Bad,7/25/2015,
119.42.225.167,Bad,7/25/2015,
120.106.194.6,Bad,7/25/2015,
121.10.107.78,Bad,7/25/2015,
121.125.60.241,Bad,7/25/2015,
121.156.126.10,Bad,7/25/2015,
121.254.145.212,Bad,7/25/2015,
121.9.213.187,Bad,7/25/2015,
122.160.168.219,Bad,7/25/2015,
124.217.216.30,Bad,7/25/2015,
124.217.216.34,Bad,7/25/2015,
124.217.216.40,Bad,7/25/2015,
124.217.216.42,Bad,7/25/2015,
125.141.196.59,Bad,7/25/2015,
125.65.112.15,Bad,7/25/2015,
125.65.112.23,Bad,7/25/2015,
125.65.112.42,Bad,7/25/2015,
128.134.30.87,Bad,7/25/2015,
129.121.130.156,Bad,7/25/2015,
129.121.130.28,Bad,7/25/2015,
129.121.160.162,Bad,7/25/2015,
129.121.160.18,Bad,7/25/2015,
129.121.162.11,Bad,7/25/2015,
129.121.199.142,Bad,7/25/2015,
129.121.219.126,Bad,7/25/2015,
129.121.221.48,Bad,7/25/2015,
129.121.34.250,Bad,7/25/2015,
129.121.49.164,Bad,7/25/2015,
129.121.93.148,Bad,7/25/2015,
130.185.105.74,Bad,7/25/2015,
142.11.195.204,Bad,7/25/2015,
143.215.203.17,Bad,7/25/2015,
143.95.1.6,Bad,7/25/2015,
146.185.218.146,Bad,7/25/2015,
149.47.13.197,Bad,7/25/2015,
